"California Department of Education
Analysis, Measurement, and Accountability Reporting Division",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
New 05-Sept-2013,,,,,,,,,,,,,,
SAT Data File for 2011–12,,,,,,,,,,,,,,
"County
Number","District
Number","School
Number",County Name,District Name,School Name,"Grade
12","Number
Tested","Percent
Tested",V_Mean,M_Mean,W_Mean,Tot_Mean,GE1500Ct,Rate1500
01,10017,0109835,Alameda,Alameda County Office of Education,FAME Public Charter,67,26,38.81,498,505,519,1523,12,46.15
01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,59,47,79.66,368,381,383,1132,3,6.38
01,10017,0118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,44,,,,,,,,
01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,66,,,,,,,,
01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,24,,,,,,,,
01,10017,0130427,Alameda,Alameda County Office of Education,Alameda County Opportunity,11,,,,,,,,
01,31617,0131763,Alameda,California School for the Deaf-Fremont (,California School for the Deaf-Fremont,67,1,1.49,,,,,,
01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,38,31,81.58,506,515,511,1532,17,54.84
01,61119,0130229,Alameda,Alameda Unified,Alameda High,458,334,72.93,534,573,541,1648,231,69.16
01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,37,25,67.57,568,572,548,1688,17,68
01,61119,0130625,Alameda,Alameda Unified,Bay Area School of Enterprise,51,24,47.06,412,393,393,1199,4,16.67
01,61119,0132878,Alameda,Alameda Unified,Encinal High,261,136,52.11,479,513,485,1478,65,47.79
01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),113,1,0.88,,,,,,
01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),27,,,,,,,,
01,61127,0130450,Alameda,Albany City Unified,Albany High,291,208,71.48,563,598,569,1730,166,79.81
01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,797,533,66.88,557,559,553,1669,354,66.42
01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,80,1,1.25,,,,,,
01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,688,422,61.34,529,554,520,1603,258,61.14
01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,59,,,,,,,,
01,61168,0132746,Alameda,Emery Unified,Emery Secondary,41,19,46.34,437,418,444,1299,4,21.05
01,61176,0130062,Alameda,Fremont Unified,American High,447,270,60.4,535,568,554,1657,174,64.44
01,61176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),98,,,,,,,,
01,61176,0130435,Alameda,Fremont Unified,Vista Alternative,37,1,2.7,,,,,,
01,61176,0130534,Alameda,Fremont Unified,Circle of Independent Learning,40,12,30,525,502,488,1515,5,41.67
01,61176,0134270,Alameda,Fremont Unified,Irvington High,490,346,70.61,574,631,600,1806,281,81.21
01,61176,0134452,Alameda,Fremont Unified,John F. Kennedy High,321,150,46.73,484,511,478,1473,68,45.33
01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,536,494,92.16,639,686,657,1981,464,93.93
01,61176,0138693,Alameda,Fremont Unified,Washington High,463,220,47.52,523,569,541,1633,144,65.45
01,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,1,,,,,,,,
01,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,1,,,,,,,,
01,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,1,,,,,,,,
01,61192,0108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,90,85,94.44,443,469,463,1375,24,28.24
01,61192,0113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,78,69,88.46,447,442,447,1337,16,23.19
01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High,185,1,0.54,,,,,,
01,61192,0133629,Alameda,Hayward Unified,Hayward High,347,105,30.26,434,451,451,1335,23,21.9
01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High,450,167,37.11,466,475,484,1424,67,40.12
01,61192,0138339,Alameda,Hayward Unified,Tennyson High,327,120,36.7,420,446,424,1290,20,16.67
01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,53,5,9.43,,,,,,
01,61200,0130492,Alameda,Livermore Valley Joint Unified,Phoenix High (Continuation),12,,,,,,,,
